Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Attack Order,EOT,3,Bug,2d8+10 ,Phys,"6, 1 Target, Full Action","If Attack Order misses, an Ally that is Adjacent to the Target triggers an Attack of Opportunity against the Target. Spirit Surge."
Bug Bite,At-Will,2,Bug,2d6+8 ,Phys,"Melee, 1 Target, Bite","On a roll of 17+, the Target becomes Wounded."
Bug Buzz,Scene x2,6,Bug,2d10+10 ,Spec,"Close Blast 2 or Burst 1; Sonic","On a roll of 18+, all Targets become Dazed. If a Target has negative Special Defense CS, the Effect Range automatically Triggers against them. Smite"
Defend Order,EOT,/,Bug,,Status,"Close Blast 2, Sonic","All Targets gain DR equal to double your Tier Value until the start of your next Turn or gains +2 CS in Defense. Sureshot"
Dull Drone,At-Will,3,Bug,1d8+6 ,Spec,"4, 1 Target, Sonic","On a roll of 18+, all Targets become Dazed."
Fell Stinger,At-Will,2,Bug,1d8+8 ,Phys,"Melee, 1 Target","If the Target faints as a result of being hit by Fell Stinger, the user gains +2 CS in Attack. "
First Impression,EOT,3,Bug,2d8+10 ,Phys,"Melee, 1 Target","If the user entered the Scene this round, this has the Sureshot Keyword. After this Attack resolves, the user may perform a Full Switch as a Free Action. Spirit Surge"
Fury Cutter,At-Will,3,Bug,1d8+6 ,Phys,"Melee, 1 Target","If the user is Provoked, Enraged, or as a Full Action, Fury Cutter may be used as if it was Close Blast 2 or Pass. "
Giga Leech,Scene x2,5,Bug,3d8+10 ,Phys,"Melee, 1 Target","On a roll of 15+, choose a Stat. The Target is lowered by -1 CS in that Stat and the user gains +1 CS to that Stat. Drain."
Heal Order,Scene x2,/,Bug,,Status,"6m, 1 Target, Healing, Versatile","The Target restores 5 Ticks of Hit Points."
Infestation,Scene x2,4,Bug,1d8+6 ,Status,"8, Ranged Blast 3, Hazard, Versatile","All Spaces within the Range of this Attack have Infestation Hazards created in them. 

Infestation Hazards - Any Enemy who starts their Turn or moves through an Infestation Hazard has a penalty to Accuracy and Save Checks equal to your Tier Level until the end of their Turn"
Insect Cleave,EOT,5,Bug,2d6+8 ,Phys,"Melee, Pass or Close Blast 2","As a Full Action, or if the Target is Wounded, this Attack has the Smite Keyword."
Lance Stinger,Scene x2,6,Bug,4d10+10 ,Phys,"Melee, Full Action, Pass","Lance Stinger ignores any positive Defense Combat Stages of its Targets and cannot trigger Reactions."
Leech Life,Scene x2,5,Bug,2d8+10 ,Phys,"4, 1 Target","Drain. "
Locust Swarm,Scene x2,/,Bug,,Status,"Field, Versatile","The Field becomes Swarmed for the next 5 Rounds. While the Field is Swarmed, non Bug Type Enemies lose a Tick of Hit Points at the start of their Turn and Bug Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn."
Lunge,EOT,3,Bug,2d8+10 ,Phys,"Melee, 1 Target, Dash","Lunge gains the Sureshot Keyword if the Target is Slowed, Trapped or Vulnerable or if the Dash Keyword is Activated."
