Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Attack Order,EOT,2,Bug,2d10+10 ,Phys,"6, 1 Target","Attack Order is a Critical Hit on 18+."
Guillotine,Daily,6,Bug,,Phys,"","This Move automatically CriticallyHits targets at or below half of their Max HitPoints. After dealing damage, the targetbecomes Vulnerable for one full round."
Beetle Bomb,Scene x2,4,Bug,3d10+10 ,Spec,"6, 1 Target, Smite","Beetle Bomb burns or Poisons the target on 18+."
Bug Bite,At-Will,2,Bug,2d6+8 ,Phys,"Melee, 1 Target","If the target has a stored Digestion Buff or hastraded in a Digestion Buff this Scene, the user may gainthe effects of the Digestion Buff. This does not counttowards the usual limit on the user's Digestion Buffs."
Bug Buzz,Scene x2,2,Bug,2d10+10 ,Spec,"Cone 2 or Close Blast 2, Sonic, Smite","Bug Buzz lowers the Special Defense of all targetson 19+."
Buzzing Kick,EOT,/,Bug,,Phys,"","Buzzing Kick dmage base is increased by 2 for every Beast Boost activation of the user or allies during theScene."
BDefiant Sting,Scene x2,2,Bug,3d12+10 ,Phys,"Melee, 1 Target, Dash, Recoil 1/3","None"
Fell Stinger,At-Will,2,Bug,1d6+5 ,Phys,"Melee, 1 Target","If the user successfully knocks out a target withFell Stinger, raise their Attack by 2 Combat Stages."
First Impression,EOT,2,Bug,2d10+10 ,Phys,"Melee, 1 Target, Priority","You may only use First Impression with Priorityupon joining an encounter; if you do, First ImpressionFlinches the target. Switching out resets therequirement of joining an encounter."
Fluttering Chaos,Scence x2,2,Bug,2d8+10 ,Spec,"Burst 6","On 18+ , opponent is confused , on 19+ opponent receive another status determined randomly (burn,sleep,para)."
Fury Cutter,At-Will,3,Bug,1d8+6 ,Phys,"Melee, 1 Target","If Fury Cutter is used successfully andconsecutively on the same target, the Damage Base isincreased by +4 to a maximum of 16. For example, thefirst hit would have a DB of 4; the second hit a DB of 8;the third hit a DB of 12; the fourth and further hits a DBof 16. If Fury Cuter misses or fails to damage its target,its Damage Base resets."
Infestation,Scene x2,4,Bug,1d8+6 ,Spec,"3, 1 Target","The target is put in a Vortex."
Leech Life,Scene x2,2,Bug,2d8+10 ,Phys,"Melee, 1 Target","After the target takes damage, the user gainsHP equal to half of the damage they dealt to thetarget."
Lunge,EOT,2,Bug,2d8+10 ,Phys,"Melee, 1 Target","Lunge may be used as a Free Action at the endof a Sprint Maneuver taken as a Standard Action, aslong as the user Shifted at least 3 meters in a straightline towards the target. When used this way, Lunge'starget receives a -5 penalty to damage rolls for 1round."
Megahorn,Scene x2,5,Bug,3d12+10 ,Phys,"Melee, 1 Target, Push","The target is pushed 1 Meter."
Pin Missile,EOT,4,Bug,1d6+5 ,Phys,"6, 1 Target, Five Strike","None"
Pollen Puff,EOT,2,Bug,2d10+10 ,Spec,"6, 1 Target","Once per Scene, Pollen Puff may instead beused on an ally; when used this way, the targetrecovers 50% of their maximum Hit Points and theMove has the Healing keyword."
Pounce,EOT,2,Bug,1d8+8 ,Phys,"Melee, 1 Target","The target's Speed is lowered by -1 CS."
Signal Beam,EOT,2,Bug,2d8+10 ,Spec,"6, 1 Target","Signal Beam confuses the target on 19+."
Silver Wind,At-Will,2,Bug,2d6+8 ,Spec,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1Combat Stage."
Skitter Smack,EOT,2,Bug,2d6+10 ,Phys,"Melee, 1 Target, Dash, Full Action","The user Shifts up to its Overland Capability,ignoring Attacks of Opportunity, before attackingwith Skitter Smack. On a hit, the target's SpecialAttack is lowered 1 CS."
Steamroller,EOT,2,Bug,2d6+10 ,Phys,"Melee, Pass","Steamroller Flinches the target on 15+. If thetarget is Small, Steamroller deals an additional +5Damage."
Struggle Bug,At-Will,2,Bug,1d8+8 ,Spec,"Cone 2","On hit, lowers the target's Special Attack by -1CS."
Twineedle,At-Will,3,Bug,1d6+5 ,Phys,"Melee, 1 Target, Double Strike","Twineedle Poisons the target on an AccuracyCheck of 18+"
U-Turn,At-Will,2,Bug,2d6+10 ,Phys,"Melee, 1 Target, Dash","If U-Turn successfully hits its target, the userdeals damage and then immediately is returned toits Poké Ball in the same turn. A New Pokémon mayimmediately be sent out. Using U-Turn lets a Trappeduser be recalled."
X-Scissor,At-Will,2,Bug,2d8+10 ,Phys,"Melee, 1 Target, Dash","None"
Defend Order,EOT,/,Bug,,Status,"Self","Raise the user's Defense and Special Defense 1Combat Stage each."
Heal Order,Daily x2,/,Bug,,Status,"Self","The user regains Hit Points equal to half of itsfull Hit Point value."
Powder,Scene x2,/,Bug,,Status,"6, 1 Target, Interrupt, Powder","The target is dusted with a Coat of flammablepowder. If it uses a damaging Fire-Type attack, theattack is negated and instad creates a Blast 3 centered onitself as the powder explodes, and the Coat is removed.All targets within the Blast take damage equal to whatthe user of the Fire-Type attack would roll for thedamage of their attack. This damage is Typeless or Fire-Type, whichever would be more effective."
Quiver Dance,Scene x2,/,Bug,,Status,"Self","Raise the user's Special Attack, Special Defense,and Speed by +1 Combat Stage each."
Rage Powder,Scene x2,/,Bug,,Status,"Burst 1 or Line 6, Powder","All targets hit by Rage Powder are Enraged.While enraged, they must shift to target the user whenusing a Move or Attack if the user is within reach. If theuser is Fainted or Switched out, all targets hit by RagePowder are cured of rage."
Silk Trap,Scene,/,Bug,,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user mayMove. You do not take any damage nor are youaddition, if the triggering attack was Melee rangeStage."
Spider Web,Scene x2,/,Bug,,Status,"5","Spider Web cannot miss. The target is Stuck andTrapped. If the user is freed of the Stuck condition, theyare freed of Trapped as well."
Sticky Web,EOT,/,Bug,,Status,"6, Hazard","Set 8 square meters of Sticky Web hazardswithin your range, all 8 meters must be adjacent with atleast one other space of Sticky Web. Sticky Web causesTerrain to become Slow Terrain, and a foe that runs intothe hazard has its Speed lowered by one stage, and theybecome Slowed until the end of their next turn. Flying-type pokémon and pokémon and Trainers with Levitateare not affected by Sticky Web. Bug-type pokémonmay move over Sticky Web harmlessly, destroying theHazards as they do so."
String Shot,At-Will,3,Bug,,Status,"Cone 2","Targets have their Speed CS lowered by -1. If thislowers their Speed CS to -6, or if their Speed CS wasalready at -6, the target is instead Stuck."
Tail Glow,Scene,/,Bug,,Status,"Self","Raise the user's Special Attack 3 Combat Stages."
Vice Grip,At-Will,2,Bug,2d6+8 ,Phys,"Melee, 1 Target","None"
Assurance,At-Will,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","When you hit with Assurance, if Assurance’starget has already been damaged by a Move on thesame round Assurance is being used, Assurance has aDB of 12 (3d12+10 / 30) instead. This effectmay trigger only once per Scene per Target"
Frustration,At-Will,2,Normal,,Phys,"Melee, 1 Target","Frustration's Damage Base is equal to 9 minusthe user's Loyalty Value. Using Frustration may makeyour pokémon dislike you."
New Moon,Daily x2,/,Dark,,Status,"Field, Weather","The weather becomes New Moon (darkness) for 5 rounds. WhileNew moon, Ghost & Dark-Type Attacks gain a +5 bonus to DamageRolls, and Light & Fairy-Type Attacks suffer a -5 Damagepenalty."
Lunar Canon,Scene x2,2,Dark,3d12+10 ,Spec,"Line 6, Set-Up","The user attacks with LunarCannon."
Raampage,Scene x2,3,Dark,3d12+10 ,Phys,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enragedand Confused."
Bite,At-Will,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","Bite Flinches the target on 15+."
Sever Fear,At-Will,2,Dark,2d6+8 ,Spec,"4 , 1 Target","Sever Fear flinches on 16+."
Brutal Swing,Scene x2,2,Dark,3d12+10 ,Phys,"Melee, 1 Target, Dash","The user's Defense and Special Defense are eachlowered by -1 Combat Stage."
Brutal Beatdwon,EOT,2,Dark,2d6+8 ,Phys,"","Burst 1"
Ceaseless Edge,Scene x2,4,Dark,2d6+10 ,Phys,"Melee, 1 Target","The target is put in a Vortex. Ceaseless Edge isa Critical Hit on a 19+."
Comeuppance,Scene,/,Dark,,Phys,"Burst 2","Comeuppance causes all targets in the buof direct Damage the user has taken since the bemiss."
