Name,Frequency,Base Effect,Trigger,Target,Keywords,Effect
Abominable,Static,"Effect: The user adds +5 Points to their HP Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. If desired, the user can increase their size to Large.",,,Innate,"Static
Keywords - Innate
Effect: The user adds +5 Points to their HP Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. If desired, the user can increase their size to Large."
Absorb Force,Scene x2 - Reaction,"Effect: Before Damage Calculations, your Temporary Hit Points becomes double its current value. After the Attack resolves, you lose all Temporary Hit Points and become Vulnerable until the end of the Round.
Bonus: Whenever you take Damage from an Attack you applied no Temporary Hit Points towards, you may gain a Tick of Temporary Hit points after Damage Resolution.",The user is hit by a Physical Attack while they have Temporary Hit Points,,Defensive,"Scene x2 - Reaction
Keywords - Defensive
Trigger - The user is hit by a Physical Attack while they have Temporary Hit Points
Effect: Before Damage Calculations, your Temporary Hit Points becomes double its current value. After the Attack resolves, you lose all Temporary Hit Points and become Vulnerable until the end of the Round.
Bonus: Whenever you take Damage from an Attack you applied no Temporary Hit Points towards, you may gain a Tick of Temporary Hit points after Damage Resolution."
Accelerate,Static,"Effect: Attacks in which the user applies the Same Type Attack Bonus gain the Priority Keyword. When using an Attack this way, the user may use Speed as an Offensive Stat or may add half of their Speed to the Damage Roll.  ",,,,"Static
Effect: Attacks in which the user applies the Same Type Attack Bonus gain the Priority Keyword. When using an Attack this way, the user may use Speed as an Offensive Stat or may add half of their Speed to the Damage Roll.  "
Adaptability,Static,Effect: The user’s Normal Type Attacks may deal Damage as if they matched one of the user’s Types or an Adjacent Ally’s Type.,,,,"Static
Effect: The user’s Normal Type Attacks may deal Damage as if they matched one of the user’s Types or an Adjacent Ally’s Type."
Aerial Fighter,Scene - Reaction,"Effect: The Triggering Attack is resisted by one additional damage step, if the Triggering Attack was from an Enemy with the Flier capability, it instead misses. 
Bonus: While the weather is Windy, the user has a bonus to Accuracy equal to their Tier Level.",The user is hit by a Damaging Attack,,Defensive,"Scene - Reaction
Keywords - Defensive
Trigger - The user is hit by a Damaging Attack
Effect: The Triggering Attack is resisted by one additional damage step, if the Triggering Attack was from an Enemy with the Flier capability, it instead misses. 
Bonus: While the weather is Windy, the user has a bonus to Accuracy equal to their Tier Level."
Aftermath,Scene - Free Action,"Effect: At the end of the Round, all Enemies within a Burst 2 Range lose X Ticks of Hit Points. X is equal to 1 plus your Explosion Counters.
Bonus: At the end of each Round and as a Swift Action, the user gains +1 Explosion Counter (Max 5). As a Full Action, the user may activate this Ability, ignoring the Trigger and Frequency, but you lose all Explosion Counters after its resolution.",The user Faints,,,"Scene - Free Action
Trigger - The user Faints
Effect: At the end of the Round, all Enemies within a Burst 2 Range lose X Ticks of Hit Points. X is equal to 1 plus your Explosion Counters.
Bonus: At the end of each Round and as a Swift Action, the user gains +1 Explosion Counter (Max 5). As a Full Action, the user may activate this Ability, ignoring the Trigger and Frequency, but you lose all Explosion Counters after its resolution."
Alacrity,Static,"Effect: The user adds +5 Points to their Speed Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user has a bonus to Accuracy equal to half of their Speed Evasion (Rounded Up).",,,Innate,"Static
Keywords - Innate
Effect: The user adds +5 Points to their Speed Stat in the Extras Column. When the user reaches Level 20 and every interval after that (20, 40, etc) they gain an additional +5. If the user is a Trainer, the Level Intervals are Level 4, 8, 12, 16, then 20. The user has a bonus to Accuracy equal to half of their Speed Evasion (Rounded Up)."
Ambush,Static,"Effect: During the first round of Combat, the user’s Attacks have the Unstoppable Keyword and treat Enemies as if they were Vulnerable. At the GM's Discretion, if the Enemies are unaware of the user’s presence, they gain a modifier to Critical Hit equal to their Tier Level. Whenever the user Targets a Flanked Enemy, they are instead treated as Vulnerable. ",,,,"Static
Effect: During the first round of Combat, the user’s Attacks have the Unstoppable Keyword and treat Enemies as if they were Vulnerable. At the GM's Discretion, if the Enemies are unaware of the user’s presence, they gain a modifier to Critical Hit equal to their Tier Level. Whenever the user Targets a Flanked Enemy, they are instead treated as Vulnerable. "
Analytic,Static,Effect: Targets of the User’s Attacks cannot apply Stat Evasion if they’ve used an Attack or Reaction this Round. Once per Round the User may use a Reaction as if it were a Free Action.,,,,"Static
Effect: Targets of the User’s Attacks cannot apply Stat Evasion if they’ve used an Attack or Reaction this Round. Once per Round the User may use a Reaction as if it were a Free Action."
Anchored,Static,"Effect: The user gains an Anchor Token that cannot exceed 3m from the user and the user cannot exceed 3m from the Anchor Token. The user cannot be slid and if the user uses a Movement Action, their Anchor Token must move to any space within 3m of them. The user may originate any Damaging Attack from their Anchor Token and if they do, it turns into Melee, 1 Target, becomes Physical Category and may be shifted to deal Steel Type Damage. Attacks originating from your Anchor Token have their DB increased by +3.",,,Innate,"Static
Keywords - Innate
Effect: The user gains an Anchor Token that cannot exceed 3m from the user and the user cannot exceed 3m from the Anchor Token. The user cannot be slid and if the user uses a Movement Action, their Anchor Token must move to any space within 3m of them. The user may originate any Damaging Attack from their Anchor Token and if they do, it turns into Melee, 1 Target, becomes Physical Category and may be shifted to deal Steel Type Damage. Attacks originating from your Anchor Token have their DB increased by +3."
Anger Point,At-Will - Free Action,"Effect: The user becomes Enraged. 
Bonus: While the user is Enraged, they gain a bonus to Damage Rolls equal to their Tier Value and a modifier to Critical Hit equal to their Tier Level",The user drops below 50% Hit Points or is hit by a Critical Hit,,,"At-Will - Free Action
Trigger - The user drops below 50% Hit Points or is hit by a Critical Hit
Effect: The user becomes Enraged. 
Bonus: While the user is Enraged, they gain a bonus to Damage Rolls equal to their Tier Value and a modifier to Critical Hit equal to their Tier Level"
Aqua Bullet,At-Will - Free Action,"Connection - Aqua Jet. 
Effect: Declare a Water Type Melee Damaging Attack. During this Turn, you do not provoke Attacks of Opportunity from Movement but you must use the declared Attack. The declared Attack may use Speed as if it were the Offensive Stat.
Bonus: The user may use non-Self Water Type Attacks as if their Range were 10, 1 Target. ",,,,"At-Will - Free Action
Connection - Aqua Jet. 
Effect: Declare a Water Type Melee Damaging Attack. During this Turn, you do not provoke Attacks of Opportunity from Movement but you must use the declared Attack. The declared Attack may use Speed as if it were the Offensive Stat.
Bonus: The user may use non-Self Water Type Attacks as if their Range were 10, 1 Target. "
Arena Trap,At-Will - Swift Action,"Connection - Sinkhole
Effect: Create a Sinking Hazards in a 3x3 Range within 3m of the user. (Refer to Sinkhole). 
Bonus: While you are standing in a Sinking Hazard created by you, all Enemies within 3m that are also standing on a Sinking Hazard become Trapped by you. ",,,,"At-Will - Swift Action
Connection - Sinkhole
Effect: Create a Sinking Hazards in a 3x3 Range within 3m of the user. (Refer to Sinkhole). 
Bonus: While you are standing in a Sinking Hazard created by you, all Enemies within 3m that are also standing on a Sinking Hazard become Trapped by you. "
Aroma Veil,Static,"Effect: The user and Allies within 2m cannot become Dazed, Enraged or Suppressed and are cured of these Afflicitons if they enter this Range. The user and Allies within 2m have a bonus to Save Checks equal to your Tier Level.",,,Defensive,"Static
Keywords - Defensive
Effect: The user and Allies within 2m cannot become Dazed, Enraged or Suppressed and are cured of these Afflicitons if they enter this Range. The user and Allies within 2m have a bonus to Save Checks equal to your Tier Level."
Aura Surge,Static,"Effect: For each Tick of Hit Points the user is missing, the user gains a +5 Bonus to Damage Rolls. This Damage Bonus cannot exceed double the user’s Tier Value. While the user is below 50% of their Max Hit Points, their Damaging Attacks are treated as having the Smite Keyword. ",,,,"Static
Effect: For each Tick of Hit Points the user is missing, the user gains a +5 Bonus to Damage Rolls. This Damage Bonus cannot exceed double the user’s Tier Value. While the user is below 50% of their Max Hit Points, their Damaging Attacks are treated as having the Smite Keyword. "
Axe Cleaver,Scene x2  - Free Action,"Connection - Dual Chop.  The Target either loses -2 CS in Defense or cannot cure the Wounded Affliction during their next Save Check.
Bonus: The user gains a 17+ effect range to inflict Wounded on all Physical Attacks. The user's Wounded Effect Ranges (Excluding the one granted by Axe Cleaver) are increased by +2. ",You inflict the Wounded Affliction,,,"Scene x2  - Free Action
Trigger - You inflict the Wounded Affliction
Connection - Dual Chop.  The Target either loses -2 CS in Defense or cannot cure the Wounded Affliction during their next Save Check.
Bonus: The user gains a 17+ effect range to inflict Wounded on all Physical Attacks. The user's Wounded Effect Ranges (Excluding the one granted by Axe Cleaver) are increased by +2. "
Battery,At-Will - Swift Action ,"Connection - Charge. 
Effect: The user gains a Charged Counter (Max 5). If the user is Tier 3, they instead gain two Charged Counters.
Bonus: The user’s Electric Type Attacks have a +1d8 Damage Bonus for each Charged Counter they have. As a Free Action, the user may Target an Adjacent Ally and expend any number of Charged Counters. The Target’s next Damaging Attack that hits has a +2d8 Damage Bonus for each expended Counter.","The user uses an Electric Attack",,,"At-Will - Swift Action 
Trigger - The user uses an Electric Attack
Connection - Charge. 
Effect: The user gains a Charged Counter (Max 5). If the user is Tier 3, they instead gain two Charged Counters.
Bonus: The user’s Electric Type Attacks have a +1d8 Damage Bonus for each Charged Counter they have. As a Free Action, the user may Target an Adjacent Ally and expend any number of Charged Counters. The Target’s next Damaging Attack that hits has a +2d8 Damage Bonus for each expended Counter."
Battle Armor,Static,"Effect: The user cannot become Critically Hit. If they would, it instead becomes a normal hit. The user has Damage Reduction against Adjacent Attacks equal to their Tier Value.",,,Defensive,"Static
Keywords - Defensive
Effect: The user cannot become Critically Hit. If they would, it instead becomes a normal hit. The user has Damage Reduction against Adjacent Attacks equal to their Tier Value."
Beam Cannon,Static,"Effect: The user may use 1 Target, Ranged Attacks as if they were Line Range instead. If an Attack is 6, 1 Target, it becomes Line 6. The user gains a modifier to Critical Hit and Effect Ranges for their Line or 1 Target Ranged Attacks equal to their Tier Level. ",,,,"Static
Effect: The user may use 1 Target, Ranged Attacks as if they were Line Range instead. If an Attack is 6, 1 Target, it becomes Line 6. The user gains a modifier to Critical Hit and Effect Ranges for their Line or 1 Target Ranged Attacks equal to their Tier Level. "
Beast Boost,At-Will - Free Action,"Effect: The user gains +2 CS to their highest Stat.  
Bonus: As a Swift Action, the user may lose any number of CS and gain a Tick of Temporary Hit Points for each 1 CS lost",An Enemy that the user damaged since their last turn faints.,,,"At-Will - Free Action
Trigger - An Enemy that the user damaged since their last turn faints.
Effect: The user gains +2 CS to their highest Stat.  
Bonus: As a Swift Action, the user may lose any number of CS and gain a Tick of Temporary Hit Points for each 1 CS lost"
Beautiful,Static,"Effect: The user’s Attacks have a 17+ Effect Range to cause their Targets to become Entranced. While the user is within 2m of an Entranced Enemy, they cannot cure the Entranced Affliction with Save Checks. If an Ally would cause an Enemy to become Entranced, they may instead have you be the Fixation.  ",,,,"Static
Effect: The user’s Attacks have a 17+ Effect Range to cause their Targets to become Entranced. While the user is within 2m of an Entranced Enemy, they cannot cure the Entranced Affliction with Save Checks. If an Ally would cause an Enemy to become Entranced, they may instead have you be the Fixation.  "
