Name,Effect
3 > 1,"Multi-Headed + Riptide"
Abominable Monster,"Ups SpDef by 1.5x in hail."
Acid Reflux,"Uses 20BP Acid when it takes damage."
Aegis Ward,"Takes 1/2 damage from Dark, Ghost and Psychic-type attacks."
Angelic Wings,"Prism Scales + Huge Wings."
Atlantic Ruler,"Aquatic Dweller + Swift Swim."
Aura Armor,"Takes 35% reduced damage."
Aurora's Gale,"Majestic Bird + North Wind."
Backflip,"After using a Dance move, follow up with a 50BP Chip Away."
Backstreet Boy,"Striker + Kicking moves are Dance moves and vise-versa."
Backup Power,"Revives at 25% HP once after fainting in Electric Terrain."
Bandit,"Scavenger + Technician."
Best Offense,"Mystic blades + use 20% of spdef during moves."
Biofilm,"50% spdef boost under Toxic Terrain."
Bird of Prey,"Big Pecks + Scrappy."
Blistering Sun,"Desolate Land + Air Blower."
Brain Mass,"Halves damage taken while at full HP."
Brain Overload,"When hit, sets up Psychic Terrain."
Break it Down,"After using an attack, follow up with a 20BP Rapid Spin."
Breezy Neigh,"KOs raise Speed by one stage."
Bruiser,"Adds Fighting type on entry."
Chainsaw,"Keen edge attacks lower defense by -1."
Chandelier,"Illuminate + Pyromancy."
Chestnut Axe,"Keen edge + Grass moves become Keen Edge boosted."
Chestnut Shield,"Impenetrable + Bulletproof"
Chilling Pellets,"Uses 13BP Icicle Spear when hit by contact."
Chilling Presence,"10BP Icy Wind on entry."
Chokehold,"Binding moves lower speed and paralyze."
Christmas Nightmare,"Enemies take 1/8 damage when in hail."
Chuckster,"Once per entry, take 1/2 damage and force-switch the target."
Cool Exit,"Uses Chilly Reception at the end of your 2nd turn."
Cosmic Dust,"Magic Guard + Cosmic Daze."
Cosmic Wings,"Flying moves become Fairy-type."
Craving,"Eat a random berry at the end of the turn."
Crispy Cream,"30% to inflict burn/frostbite when hit by contact."
Crushing Jaw,"Strong Jaw + Biting moves have a 50% chance to lower defense."
Cryostasis,"Cryomancy + Frostbite causes flinching."
Cryptic Power,"Doubles own Sp. Atk stat. Boosts raw stat, not base stat."
Crystalline Armor,"Reflects stat drops and immune to critical hits."
Curlipede,"Let's Roll + Coil Up"
Current Crash,"Reckless + Thundercall."
Curse of Famine,"Eats terrain, restores hp, and boosts a defense."
Daredevil,"+1 Atk after using recoil move. 1/2 recoil damage."
Dead Bark,"Adds Ghost type. Takes 15% less damage. 30% less damage if SE."
Deep Fried,"Summons a sea of fire on entry."
Deflect,"Counters with 20 BP Vacuum Wave when hit. Takes 20% less damage."
Depth Explorer,"Field Explorer + Illuminate."
Deviate,"Normal moves become Dark. Dark moves are empowered."
Devious Present,"Boosts Ice and throwing moves by 50%."
Draconic Might,"Draconize + Half Drake."
Dragonfruit,"Half Drake + Rough Skin."
Drake Of Rage,"Tinted Lens + Rampage"
Drakelp Head,"Weakens first move taken and drops opponent's attack."
Dreamscape,"Comatose + Dreamcatcher + Deal 20% more damage."
Droideka,"Heatproof + Shell Armor."
Drop Blocks,"When hit, set up spikes."
Duality,"Infiltrator + Competitive."
Dune Veil,"Desert Cloak + Self Sufficient."
Echolocation,"In fog, deal 20% more damage and never miss."
Edgelord,"First Keen Edge move each entry gets +1 priority. Resets on KO."
Electro Booster,"Uses Magnet Rise on entry."
Elemental Aegis,"Takes 1/2 damage from Fire, Electric and Water-type attacks."
Elude,"Uses Speed as defense stat when hit by non-contact."
Emperor's Wrath,"King's Wrath + Queen's Mourning."
Empress,"Queenly Majesty + Rivalry."
Energy Tap,"Heals the user for 1/8 of the damage they deal."
Envenom,"Moves have a 30% chance to poison the target."
Eternal Flower,"Reduces the stats of other Megas by 20%."
Feathercoat,"Takes 10% less damage from attacks, 20% if resisted."
Festivities,"Sound moves become dance moves and vice versa."
Fey Flight,"Adds Fairy-type and levitates."
Fire Aspect,"Absorbs fire moves and always burns with fire."
Fire Ruler,"King's Wrath + Flame Shield"
Fire's Wrath,"Intimidate + Scare; 10% burn chance on non contact moves."
Firefighter,"Deals 1.5x damage to Fire. Takes 0.5x damage from Fire."
Flawless Precision,"Fatal + Deadly Precision."
Flower Necklace,"This Pokémon's SpDef gets a 1.5x boost in Grassy Terrain."
Foamy Web,"Casts an unremovable Sticky Web on entry. Lasts 5 turns."
Fog Machine,"When hit, Set up Eerie Fog."
Foggy Eye,"While in Fog, boost Ghost moves by 50% and resist Ghost moves."
Food Lovers,"Hospitality + Friend Guard."
Fortress,"Filter + Shell Armor."
Foul Energy,"Boosts Dark-type moves by 1.2x, or 1.5x when under 1/3 HP."
Frost Dragon,"Triggers 50 BP Blizzard after using a Dragon or Ice-type move."
Frostbind,"Inflicting Frostbite also inflicts Disable."
Frosty Prescence,"Uses Mist on entry."
Galeforce Wings,"Flying moves get +1 Priority."
Ghost Frenzy,"Hyper Aggressive + Soul Eater."
Ghost Pepper,"Grass moves have a 30% to cause burn."
Giant Shuriken,"Water Shuriken hits once with 100BP and +1 crit."
Glacial Ghost,"Slush Rush + Snow Cloak."
Gnashing Cannon,"Mega Launcher + Mind Crunch."
Going Berserk,"Berserk + Rampage"
Grass Flute,"Sound moves inflict Fear."
Greedy,"Uses Thief when it loses an item."
Guardian Coat,"Blocks weather dmg and powders. Takes -20% physical damage."
Hammer Fist,"Boosts punch and hammer moves by 25%."
Hand Barnacles,"Multi-Headed + Water STAB."
Harukaze,"Setting Grassy Terrain sets Tailwind and vice versa."
Haste Makes Waste,"Stall + Analytic."
Headstrong,"+1 Spdef on entry."
Heat Sink,"Redirects Fire moves. Absorbs them, ups highest Atk."
Hemotoxin,"Supresses abilities of the target when they're poisoned."
Hollow Ice Zone,"Ice-type moves apply Ice Statue and then make the user switch."
Home Run,"Landing a crit boosts your 3 lowest stats once per turn."
Hungry Maws,"Strong Jaw + Jaws of Carnage."
Hydra,"Multi-Headed + Hubris."
Hyper Cleanse,"Immune to status. Halves poison damage taken."
Hypnotic Touch,"20% chance to sleep on contact. Also works on offense."
Hypnotic Trance,"Hypnosis never misses and also causes Confusion."
I Am Steve,"Uses No Retreat on entry."
Ice Picks,"Tough Claws + Slush Rush."
Ice Plumes,"Halves damage taken by Special moves. Does NOT double SpDef."
Icicle Fist,"Iron Fist + 30% chance to cause frostbite with punches."
Impaler,"Mighty Horn + 30% Bleed chance on horn moves."
Jungle Fever,"If Grassy Terrain is active, gets a 1.5x Speed boost."
King of the Jungle,"Infiltrator + deals 1.5x more damage to Grass-types."
Komodo,"Adds Dragon-type + moves have 30% Bad Poison chance."
Laser Drill,"Horn moves have a 50% burn chance."
Lead Claws,"Tough Claws + Mineralize."
Lepidopteran,"Swarm + Unaware."
Let's Dance,"Uses Teeter Dance on entry, Confusing the field."
Lightning Aspect,"Absorbs electric moves then ups highest stat by +1."
Lightning Born,"Adds Electric-type on entry."
Lightsaber,"Adds Fire-type. Keen Edge moves have 25% burn or paralysis."
Locust Swarm,"Changes into Hivemind form until 1/4 HP or less."
Loose Thorns,"Sets Creeping Thorns when hit by contact."
Lucha Libre,"Dazzling + Defiant."
Lucky Wings,"Serene Grace + Giant Wings."
Lunar Wrath,"After using a Ghost move, follow up with a 50BP Moongeist Beam."
Mach 3,"Deadly Precision + Slipstream."
Madness Enhancement,"Enrages in fog, halves damage when enraged."
Magus Blades,"Dual Wield + Best Offense."
Malodor,"Suppresses attacker's abilities on contact."
Mashed Potato,"Syrup Bomb effect on the foe for 3 turns."
Massive Pelt,"Tangling Hair + Fluffy."
Mega Drill,"Mighty Horn + all Drill moves are 30% stronger."
Mental Pollution,"Suppresses others' abilities when it becomes enraged."
Mixed Martial Arts,"Normal moves are flagged as Punch + Kick moves."
Mob Boss,"Terrify + Deviate."
Molten Coat,"Mineralize + Rock moves have 50% burn chance."
Molten Core,"Furnace + Absorbs Rock-moves/Stealth Rocks."
Moustache,"Tangling Hair + Stamina."
Mucus Membrane,"Takes 30% less damage from attacks + Gooey"
Multi-Headed,"Hits as many times, as it has heads."
Musical Notes,"Status moves become sound-based."
Narcissist,"When a stat is lowered, sharply raise both offenses."
Neutralizing Fog,"Uses Defog on entry."
Nihil Blaster,"Aura Break + Mega Launcher."
Ominous Shroud,"Phantom + Shadow Shield."
Overcast,"Low Visibility + Sets Mist on entry."
Overrule,"Crits bypass abilities and do 2x damage vs resists."
Overwhelming Mind,"Boosts Psychic-type moves by 1.3x, or 1.8x when below 1/3 HP."
Overzealous (N),"User's super-effective moves have +1 prio."
Paint Shot,"Mega launcher moves change the target's type to the move used."
Petal Shield,"Maxes Def on entry. -1 Def when hit."
Poison Quills,"Rough Skin + Poison Point."
Polarity,"Increases the party's highest stat by 30%"
Power Leak,"When hit, set up Electric Terrain."
Power Outage,"Boosts first Electric attack by 2x then loses Electric type."
Purple Haze,"Triggers a 20BP Poison Gas after using a move."
Raging Storm,"Ups highest attacking stat by 1.5x in rain."
