Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Absorb,At-Will,2,Grass,1d6+3 ,Spec,"4, 1 Target","After the target takes damage, the user gainsHit Points equal to half of the damage they dealt to thetarget."
Accelerock,At-Will,2,Rock,1d8+6 ,Phys,"","Melee, 1 Target, Priority"
Acid,At-Will,2,Poison,1d8+6 ,Spec,"Cone 2","Acid lowers the target's Special Defense 1Combat Stage on 18+."
Acid Armor,Scene,/,Poison,,Status,"","Self, Set-Up"
Acid Spray,EOT,2,Poison,1d8+6 ,Spec,"4, 1 Target","Acid Spray lowers the target's Special Defense 2Combat Stages."
Acrobatics,EOT,2,Flying,2d6+8 ,Phys,"Melee, Dash, 1 Target","If the user is not holding an item, Acrobaticsinstead has a Damage Base of 11 (3d10+10 / 27)."
Acupressure,EOT,2,Normal,,Status,"Melee, 1 Target or Self","Roll 1d6. On a result of 1, raise the target's Attack2 Combat Stages. On a result of 2, raise the target'sDefense 2 Combat Stages. On a result of 3, raise thetarget's Special Attack 2 Combat Stages. On a result of 4,raise the target's Special Defense 2 Combat Stages. On aresult of 5, raise the target's Speed 2 Combat Stages. Ona result of 6, raise the target's Accuracy by +2."
Aerial Ace,EOT,/,Flying,2d6+8 ,Phys,"Melee, 1 Target","Aerial Ace cannot miss."
Aerial Crash,EOT,2,,,Phys,"Melee, 1 Target","For each weight class the user is above the target, increase Aerial Crash's damage base by +2"
Aeroblast,Daily,3,Flying,3d8+10 ,Spec,"Line 6","Aeroblast is a Critical Hit on an Even-NumberedRoll."
After You,Scene x2,/,Normal,,Status,"6, 1 Target","After You is a Swift Action. The target takes theirturn for the round immediately after the user finishestheir turn, ignoring Initiative. After You may only affecta target that has not yet acted that round and can onlyaffect willing targets."
Agility,EOT,/,Psychic,,Status,"Self","Raise the user's Speed 2 Combat Stages."
Air Cutter,At-Will,2,Flying,2d6+8 ,Spec,"Cone 2","Air Cutter is a Critical Hit on 18+."
Air Slash,EOT,3,Flying,2d8+10 ,Spec,"6, 1 Target","Air Slash Flinches the target on 15+."
Airborne Slam,TBD,TBD,Normal,TBD,Phys,"TBD","Slams the user, always aiming for the head. 20% chance to confuse."
Alluring Voice,TBD,TBD,Fairy,TBD,Spec,"TBD","Attacks the target using its angelic voice. May confuse."
Ally Switch,Scene,/,Psychic,,Status,"6, 1 Target, Interrupt","Ally Switch may be declared during a foe's turnas an Interrupt. The user chooses one willing ally within6 meters; the target and the user switch places. If the allywas a target of a Move, the user is now the target; If theuser was a target of a Move, the ally is now the target."
Amnesia,EOT,/,Psychic,,Status,"Self","Raise the user's Special Defense 2 Combat Stages."
Anchor Shot,EOT,2,Steel,2d8+10 ,Phys,"Melee, 1 Target","The Target is Trapped for 2 rounds. AnchorShot may only be used from the user's Anchor Token."
Ancient Leaf,Scence x2,4,Grass,2d8+10 ,Spec,"4, 1 Target","Increase SP Def by 1 combat stage on roll of 7 , 11 , 15 or 20."
Ancient Power,EOT,2,Rock,2d8+10 ,Spec,"Burst 1, Sonic","None."
Angel Ring,Scene x2,4,Light,1d8+6 ,Spec,"3, 1 Target","The target is put in a Vortex."
Apparate,Scene x2,/,Normal,,Status,"Self, Swift Action","Apparate may be activated as a Swift Actionon the user's turn. For the rest of the turn, the user'sGhost Moves can hit andaffect normal-types.."
Apple Acid,EOT,2,Grass,2d8+10 ,Spec,"Cone 2","The target's Special Defense is lowered by 1CS."
Aqua Bash,TBD,TBD,Water,TBD,Phys,"TBD","A mystical jab strikes the foe. 20% flinch chance."
Aqua Cutter,EOT,2,Water,2d6+10 ,Phys,"Melee, Pass, Slice",""
Aqua Fang,Scene,3,Water,3d8+10 ,Phys,"Melee, 1 Target","Aqua Fang Flinches on 18+"
Aqua Jet,At-Will,2,Water,1d8+6 ,Phys,"Melee, 1 Target, Priority","None"
Aqua Ring,Scene,/,Water,,Status,"Self, Coat","Aqua Ring covers the user in a Coat that heals theuser at the beginning of their turn. The user is healed aTick of Hit Points each turn."
Aqua Step,EOT,2,Water,2d8+10 ,Phys,"Melee, 1 Target",""
Aqua Tail,EOT,4,Water,2d10+10 ,Phys,"Melee, Pass","None"
Archer Shot,TBD,TBD,Normal,TBD,Phys,"TBD","Shoots a dead center arrow at the target. Archer boost."
Arm Thrust,EOT,4,Fighting,1d6+3 ,Phys,"Melee, 1 Target, Five Strike","None"
Armor Cannon,Scene x2,2,Fire,3d12+10 ,Spec,"8, 1 Target, Dash","The user's Defense and Special Defense"
Aromatherapy,Scene,/,Grass,,Status,"Burst 1","All allies in the burst are cured of one statuscondition of their choice."
Aromatic Mist,EOT,/,Fairy,,Status,"Burst 1","All allies in Aromatic Mist's area of effect havetheir Special Defense raised 1 Combat Stage."
Artillerolives,EOT,3,Grass,1d8+8 ,Spec,"4, 2 Targets; or 4, 1 Target (seetext)","Once per Scene, you may createSlick Hazards in two Blasts 3, anywherewithin range. If used on only 1 target, thisMove gains the Double Strike keyword, andif Slick Hazards are created, you may createthem in a single Blast 5, centered on thetarget."
Assist,Scene x2,/,Normal,,Status,"Self","Randomly select another pokémon on the user'sroster and then randomly select a Move that pokémonknows. Assist's user uses that Move immediately."
Assurance,At-Will,2,Dark,2d6+8 ,Phys,"Melee, 1 Target","When you hit with Assurance, if Assurance’starget has already been damaged by a Move on thesame round Assurance is being used, Assurance has aDB of 12 (3d12+10 / 30) instead. This effectmay trigger only once per Scene per Target"
Asteroid Shot,TBD,TBD,Rock,TBD,Phys,"TBD","Launches a asteroid onto the target. Cannot miss."
