Move,Freq,AC,Type,Roll,Dmg. Type,Range,Special Effect
Seed Storm,Scene x2,4,Grass,2d10+10,Spec,"Range 4 , 1  target","On 18+ , plant a seed into the target that steals 1 tick of hit points every turn. If weather is sunny the move cannot miss and the seed is automatically planted. If weather is rainy , the move cannot plant a seed but is guaranteed to hit and critical hit."
Fiery Shock,At-Will,2,Fire,2d8+10,Spec,"Range 4 , 1  target"," When calculating damage , if target defense is lower than special defense, substracts target defense instead."
Cannon Destroyer,EOT,/,Water,2d6+10,Spec,"Range 6 , 1  target"," Cannon Destroyer is always a critical hit."
Ancient Leaf,Scene x2,4,Grass,2d8+10,Spec,"Range 4 , 1  target","Increase SP Def by 1 combat stage on roll of 7 , 11 , 15 or 20."
Fern Wall,Daily,/,Grass,,Status,"Self",Heal 1/4 of maximum hit points. Increase DEF and SP. DEF by 1 combat stage
Pyro Technics,EOT,2,Fire,2d10+10,Spec,"Range 6, 1  target"," On 18+ , lowers target accuracy by 1 combat Stage."
Chomp,EOT,3,Water,2d10+10,Physical,"Melee , 1  target , Priority"," On 18+ , lowers target speed by 1 combat Stage."
Quick leaf cutter,EOT,2,Grass,2d6+10,Physical,"Melee , 1  target , Priority"," Is a priority."
Burning Knee,Scene,4,Fire,2d10+10,Physical,"Melee , 1  target"," Flinch target on 12,14 , burn target on 18+"
Mud Bath,Daily x2,2,Water/Ground,2d8+10,Physical,"Melee , 1  target"," The user gains hit points equal to Mud Bath damage roll"
Gaia Growth,Daily,/,Grass,,Status,"Self"," User heal ¼ of max hit points, and raises ATK and SP. ATK by 1 combat stage under the sun user raises ATK and SP. ATK by 2 combat stages instead."
Fists of Fury,EOT,2,Fire/Fighting,1d6+5,Physical,"Melee , 1 target , Five Strike"," Hit 2 to 5 times , dealing Fire or Fighting Damages."
Steel Cutter,EOT,2,Steel,2d8+10,Physical,"Melee , 1 target"," On 17+ , Steel Cutter is a critical hit. This move Uses the highest of ATK or SP. ATK of user to calculate damage.Emoboar:J’ai 0 idée putinUn move comme une prise de catch , qui augmente les dégats feu derrière ? ou alors qui le met dans un vortex ?Serperior :J’ai 0 idée putinUn qui contraint le pokemon adverse, tout en descendant de 1 les stages de resistances des attaques de tous les autres alliés ? tout en bloquant majaspic ?Samurott :Un tunnel eau qui buff l’atk ?J’ai 0 idée putinChesnaught/Il a spiky shield qui est donné à  deux trois pokémon sa compte ou pas ? (sparkling aria a été donné a locklhass par exemple mais pour moi sa reste signature si le move est pas propager de partout vu que le but est de rendre uniques les poké donc bon 2 sur 1200 ca va )"
Mind Burn,EOT,2,Psychic,2d10+10,Spec,"Range 6 , 1 target"," On 17+ , target is burnt.Incineroar(alors darket lariat a été donné un peu en 8g donc je sais pas trop)Ca reste le seul pokemon qui l’a sans CT , comme Chestnaught je pense que c’est ok de lui laisser ca"
Skyfreeze,Scene x2,4,Ice,2d10+10,Spec,"Range 6 , 1 target"," On 15+ , user coats itself in a Protective Ice, healing 1 tick of hit points each turn."
Thunder cloud,Scene x2,4,Electric,2d10+10,Spec,"Range 6 , 1 target"," On 15+ sets tailwind for 2 turns for user’s team . tailwind : all allied trainers and Pokémon gain +5 to their Initiative (cannot stack) ."
Firestorm,Scene x2,4,Fire,4d10+10,Spec,"Range 6 , 1 target"," On 18+ , opponent is burnt."
Psycho Copy,Scene,/,Psychic,,Status,"Self , Interrupt"," If the user is hit by a move , the user may use Psycho Copy. Interrupt the target move, and use the same move on the user"
Sacred Thunder,EOT,3,Electric,3d10+10,Physical,"Range 6 , 1 target"," If ability fails or hits a target immunes to Electric moves , user loses ½ of it’s maximum hit points . On 18+ , User become paralyzed."
Sacred Aqua Veil,Daily x2,3,Water,3d10+10,Physical,"Range 6 , 1 target"," If ability fails or hits a target immunes to Electric moves , user loses ½ of it’s maximum hit points . On 18+ , User become frostbite."
Sacred Light,Daily x2,/,Light,,Status,"","Range Burst 1, Healing The user and all allies in the burst regain Hit Points equal to 1/2 of their Maximum Hit Points and heal all statues."
Time Ripple,Scene x2,/,Psychic,,Status,"Self"," All allies are immune to move , objects and abilities that may change turn order"
Rock Recover,Scene,/,Rock,,Status,"Self"," For 5 round ,each round user recover ⅓ of all damage received during the previous round. Increase user defense by 1 combat stage"
Freeze Wall,Scene,/,Ice,,Status,"Self. Interrupt","  If the user is it by a move , the user may use freeze wall. Grants 1 step of resistance to any pokemon targeted by the move for 5 turns. Increases user Sp. DEF by one combat stage"
Thungsten Armor,Scene,/,Steel,,Status,"Self, Interrupt","  User  becomes immune to critical hit for 5 turns. Increases DEF and SP. DEF by 2 combat stageEst ce qu’on donne les move en plus de l’image au tapu et au calamité la comme chien pao et compagny ?Other mons  Signature Move :"
Summer Flourish,Scene,/,Grass,,Status,"Self","  The user may not shift this round. The user may create as many squares of Rough Terrain as it wants within a Burst 3 as plants burst through the ground, regardless of the surface material. If the weather is sunny or light terrain is on the field , apply set up effect immediately instead of next turn.Resolution  The user raises its Special Attack, Special Defense, and Speed by 2 Combat Stages each"
Cursed Flare,EOT,4,Fire,2d8+10,Spec,"Range 6 , 1 target"," On 18+ , Cursed flare disable one move from opponent for 3 turns.Coalossal :"
Fuel Coal (fuel coal),EOT,/,Fire,,Status,"Self"," Raise the user’s Special Attack 1 Combat Stage and raise the user’s Special Defense 1 Combat Stag"
Spectral Blade,At-Will,/,Grass,2d8+10,Physical,"Range 6 , 1 target"," Cannot miss. If Spectral Blade has been used last turn , it will automatically miss."
Quad Punch,At-Will,4,Grass,1d6+5,Physical,"Melee , 1 target Four strikes"," May hit up to four times.Can Select different targets as long as they are in Attack Range."
Fluttering Chaos,Scene x2,2,Bug,2d8+10,Spec,"Burst 6","On 18+ , opponent is confused , on 19+ opponent receive another status determined randomly (burn,sleep,para) ."
Toxic Sting,EOT,2,Poison,2d10+10,Physical,"Melee 1 target."," Opponent is poisoned on 17+ , badly poisoned instead on 19+."
Psychedelic Slumber,Scene x2,2,Bug/Psychic,2d10+10,Spec,"Burst 4"," Opponent falls asleep on 18+. If opponent is asleep , deal twice the damage"
Nocturnal Venom,At-Will,3,Poison,1d6+3,Spec,"Range 4 , 1 target"," On 18+ , opponent becomes badly poisoned. If move is used by night or on new moon , Nocturnal venom damage base is 5."
Fairy Powder,Scene x2,3,Fairy,1d6+3,Spec,"Range 4 , 1 target","  Opponent becomes confused. If move is used on sunny weather or in light terrain , Fairy Powder damage base is 5."
Spatial Rupture,Scene x2,4,Psychic,3d8+10,Spec,"Range 6 , 1 target"," On  17+ , user can’t shift for 3 rounds"
Psionic Gale,At-Will,3,Fighting/Psychic,2d10+10,Physical,"Melee , 1 target"," Psionic Gale is a crit on a roll of 16+"
Shadow Specter,Scene x2,3,Ghost,3d8+10,Spec,"Range 6 , 1 target"," On 13+ , target is trapped in a shadow realm, preventing him to use non damaging moves (while trapped cannot shift for 3 rounds) . On 19+ , target Sp. Def is lowered by 1."
Frostwave Aria,Scene x2,5,Ice,3d12+10,Spec,"Burst 6"," On 18+ target in the area become affected by Frostbite. Frostbite lowers Sp Atk of affected target by 2. Frostwave Aria gives all allies in the area a protective shield that last for one hit (coat effect) , granting 1 step of resistance to physical and special damaging move"
Malodorant Vortex,EOT,4,Ice,1d8+8,Spec,"Range 6 , 1 target"," Target is trapped in a vortex, preventing it to switch out  and gets -1 to AC rolls."
Metal Barrage,At-Will,3,Steel,2d10+10,Physical,"Melee , 1 target"," Metal Barrage is a crit on 19+ . On 19+ , flinches the target"
Graviational Pulse,EOT,2,Psychic,1d8+8,Spec,"Range 4, 1 target"," Apply confusion on 15+. Apply Gravity condition to the target for X turns (X = result of 1d4+1) . Gravity : target become grounded and negate the effect of Flying type moves."
Volcalith,EOT,4,Rock,1d8+8,Spec,"Range 6, 1 target"," Target is set in a vortex."
Sandstorm Surge,EOT,4,Ground,2d8+10,Spec,"Range 6, 1 target",Effect Sandaconda summons a fierce sandstorm that envelops the battlefield.  dealing damage to all opposing Pokémon each turn for four turns. Additionally  Sandstorm Surge boosts the evasion of Sandaconda and its allies while the sandstorm rages
Sweet Blast,At-Will,3,Grass,2d6+8,Spec,"Range 4, 1 target"," If target stats has been lowered by a move or ability , Sweet Blast Damage base is 8 during the scene."
Sour Strike,At-Will,4,Grass,2d8+10,Physical,"Range 4, 1 target"," Lowers target defense on 18+"
Fairy Whirl,EOT,4,Fairy,2d10+10,Spec,"Range 4, 1 target"," Apply confusion to target on 18+ . If target is already confused, Fairy Whirl damage base is increased by 2"
Steel Surge,EOT,4,Steel,1d8+6,Physical,"4m/1T (et sa met le hasard autour)","Effect: Copperajah creates a surge of metallic spikes, covering 8 square meters within its range. All 8 meters must be adjacent to at least one other space of spikes. These spikes cause terrain to count as Slow Terrain. Additionally, grounded foes that run into the spikes will lose a tick of Hit Points and become Slowed until the end of their next turn. Furthermore, if a foe is weak to Steel-type moves, they will take increased damage from the spikes, similar to the effect of Stealth Rock.
Extra Effect: The layer of metallic spikes remains on the battlefield, persisting as a hazard for the duration of the encounter. The spikes cause damage and slow down opponents who come into contact with them, as described above."
Foam Torrent,At-Will,2,Water,2d10+10,Spec,"Range 4 , 1 target"," Lower targets speed on 15+"
Vortex Blaze,Scene x2,5,Fire,2d10+10,Spec,"Range 4 , 1 target"," Target becomes traps in a Fire Vortex"
Frost Shroud,Scene x2,2,Ice,2d10+10,Spec,"Range 6 , 1 target"," Apply frostbite to the target on 15+."
Thunderous edge,EOT,3,Electric,3d8+10,Physical,"Melee , 1 target"," Paralyze targets on 18+"
Final Topping,Scene x2,4,Fairy,3d12+10,Spec,"Range 6 , 1 target",Heal all allies by 2 ticks of hit points. Alcremie Sp Atk is lowered by 2 combat stages
