Attack Name,Type,Class,Frequency,Range,AC,DB,Effect,Versatile Effect,Attack Tier
Attack Order,Bug,Physical,EOT,"6, 1 Target, Full Action",3,8,"If Attack Order misses, an Ally that is Adjacent to the Target triggers an Attack of Opportunity against the Target. Spirit Surge.",--,Tier 2
Bug Bite,Bug,Physical,At-Will,"Melee, 1 Target, Bite",2,6,"On a roll of 17+, the Target becomes Wounded.",--,Tier 1
Bug Buzz,Bug,Special,Scene x2,Close Blast 2 or Burst 1; Sonic,6,9,"On a roll of 18+, all Targets become Dazed. If a Target has negative Special Defense CS, the Effect Range automatically Triggers against them. Smite",--,Tier 2
Defend Order,Bug,Status,EOT,"Close Blast 2, Sonic",,,All Targets gain DR equal to double your Tier Value until the start of your next Turn or gains +2 CS in Defense. Sureshot,"When used this way, the range become Self. All Adjacent Allies may use the Defend Maneuver with you as a Target as a Priority Free Action.",Tier 1
Dull Drone,Bug,Special,At-Will,"4, 1 Target, Sonic",3,4,"On a roll of 18+, all Targets become Dazed.",--,Tier 1
Fell Stinger,Bug,Physical,At-Will,"Melee, 1 Target",2,5,"If the Target faints as a result of being hit by Fell Stinger, the user gains +2 CS in Attack. ",--,Tier 1
First Impression,Bug,Physical,EOT,"Melee, 1 Target",3,8,"If the user entered the Scene this round, this has the Sureshot Keyword. After this Attack resolves, the user may perform a Full Switch as a Free Action. Spirit Surge",--,Tier 2
Fury Cutter,Bug,Physical,At-Will,"Melee, 1 Target",3,4,"If the user is Provoked, Enraged, or as a Full Action, Fury Cutter may be used as if it was Close Blast 2 or Pass. ",--,Tier 1
Giga Leech,Bug,Physical,Scene x2,"Melee, 1 Target",5,10,"On a roll of 15+, choose a Stat. The Target is lowered by -1 CS in that Stat and the user gains +1 CS to that Stat. Drain.",--,Tier 3
Heal Order,Bug,Status,Scene x2,"6m, 1 Target, Healing, Versatile",,,The Target restores 5 Ticks of Hit Points.,"The Target restores a Tick of Hit Points. When used this way, it doesn't expend the Frequency of Heal Order.",Tier 2
Infestation,Bug,Status,Scene x2,"8, Ranged Blast 3, Hazard, Versatile",,,"All Spaces within the Range of this Attack have Infestation Hazards created in them. 

Infestation Hazards - Any Enemy who starts their Turn or moves through an Infestation Hazard has a penalty to Accuracy and Save Checks equal to your Tier Level until the end of their Turn",Same as the normal Effects but the Hazards are removed at the end of the Round. ,Tier 2
Insect Cleave,Bug,Physical,EOT,"Melee, Pass or Close Blast 2",5,6,"As a Full Action, or if the Target is Wounded, this Attack has the Smite Keyword.",--,Tier 1
Lance Stinger,Bug,Physical,Scene x2,"Melee, Full Action, Pass",6,13,Lance Stinger ignores any positive Defense Combat Stages of its Targets and cannot trigger Reactions.,--,Tier 3
Leech Life,Bug,Physical,Scene x2,"4, 1 Target",5,8,Drain. ,--,Tier 2
Locust Swarm,Bug,Status,Scene x2,"Field, Versatile",,,"The Field becomes Swarmed for the next 5 Rounds. While the Field is Swarmed, non Bug Type Enemies lose a Tick of Hit Points at the start of their Turn and Bug Type Pokemon gain a Tick of Temporary Hit Points at the start of their Turn.","Same as the normal Effect, but at the end of the Round, roll a Luck Check and with an 8 or less, the Field is no longer affected by this Attack.",Tier 2
Lunge,Bug,Physical,EOT,"Melee, 1 Target, Dash",3,8,"Lunge gains the Sureshot Keyword if the Target is Slowed, Trapped or Vulnerable or if the Dash Keyword is Activated.",--,Tier 2
Megahorn,Bug,Physical,Scene x2,"Melee, 1 Target",4,12,"The Target loses -1 CS in Defense. If they already have negative CS in Defense, they also become Vulnerable against Melee Attacks until the end of the next Round.",--,Tier 3
Pheromone Haze,Bug,Status,Scene x2,"Blessing, Versatile",,,"Blessing - Any user affected by Pheromone Haze may activate it as a Free Action when using a Bug Type Damaging Attack to grant it the Smite Keyword. If the Attack hits, it hits, it is also increased by one damage step. (Max 1.5x Effectiveness). Pheromone Haze may be Activated 3 times and then disappears. ","Same as the normal Effect, but it only has 1 Activation.",Tier 2
Pheromone Spray,Bug,Special,EOT,Close Blast 2,5,4,"One Target becomes Marked with a Haze Mark. Attacks against Enemies with a Haze Mark have a bonus to Effect Ranges equal to your Tier Level. When an Effect Range Triggers against an Enemy with a Haze Mark, the Haze Mark is removed. Spirit Surge",--,Tier 1
Pin Missile,Bug,Physical,EOT,"6, 1 Target",5,4,"If Pin Missile hits at least 4 times, the Target becomes Wounded. Five Strike",--,Tier 1
