Name,Effect
,""
: Fashion Designer,"Daily – Extended Action
Effect: The user knows how to make useful accessories from mere common leaves. The user may craft one of
the consumable Held Items below by activating this ability
Lucky Leaf - Grass Type Booster for one encounter.
Tasty Reeds - Bug Type Booster for one encounter.
Dew Cup - Same Effect as an Occa Berry.
Thorn Mantle - Same Effect as a Coba Berry.
Chewy Cluster - Same Effect as Leftovers.
Decorative Twine – Roll +2d6 on any Move during a Contest"
Abominable,"Static
Effect:The user's Base HP is increased by +5and user ignores the Recoil Keyword when attacking, and does not
gain injuries from Massive Damage.Defensive."
Absolution,"Scene x2 – Swift Action
Trigger: The user rolls Damage
Effect: The user loses a Tick of Hit Points, and gains a bonus to the triggering damage roll equal to 5 + their
Tick Value. Absolution may be activated ignoring Frequency while in a New Moon."
Absorb Force,"Scene – Free Action
Trigger: The user is damaged by a Physical Attack
Effect: The user takes damage as if the attack was resisted one step further.Defensive."
Absorbant,"Static
User's draining moves recover 75% of the damage dealt instead of 50% and if the user is grass type applies
leech seed on 19+ roll."
Accelerate,"Scene x2 – Free Action
The user may use a damaging Move to which they add STAB as a Priority Move. If the Move hits, the user
adds half their Speed Stat to the Damage Roll. If the Move already had Priority, the attack gains a +4 Bonus to
Accuracy."
Acidic Slime,"Corrosion + Poison STAB."
Adaptability,"Static
Increase the Damage of all Moves with which the user shares a Type by +1 Damage Base."
Adrenaline Rush,"KOs raise Speed by one stage."
Aerialist,"Levitate + Flock."
Aerilate,"At-Will – Free Action
Trigger: The user uses a Normal-Type or Sound-Type damaging Move
Effect: The Move is changed to be Flying-Type and gains +1 Damage Base."
Aerodynamics,"Static
Trigger: The user is damaged by a Flying Type Move
Flying Type Moves raise User Speed, User is immunted to Flying Type Damage. Defensive."
Aftermath,"Scene — Free Action
trigger: The user becomes Fainted,
The user creates a Burst 1. Everything in the Burst loses three Ticks of Hit Points."
Aftershock,"Triggers Magnitude 4-7 after using a damaging move."
Air Blower,"At-Will – Free Action
Trigger: User enters the encounter
Effect: For the two next rounds of the encounter, all allied trainers and Pokémon gain +5 to their Initiative.
Multiple instances of Tailwind cannot stack (this is treated as Tailwind Instance.)"
Air Lock,"Scene – Free Action
Effect: The weather is set to normal as long as the Pokémon with Air Lock wants it to remain that way. The
user may continue to sustain this effect as a Swift Action each round."
Airborne,"Boosts own & ally's Flying-type moves by 1.3x."
Ambush,"Scene – Free Action
Static
Effect: The user may use a Melee Move with a Damage Base of 6 (before applying STAB or other modifiers) or
lower as if it had the Priority keyword. If it hits, the target is Flinched.
Static
Whilse the user is hididing or in an illusion, user crit range +3"
Amphibious,"Thethe User's Water Type moves Damage base is Increased by 1"
Amplifier,"Static
Effect: The user’s damaging Sound moves gain a 2DB and Get their area increased."
Analytic,"Static
Effect: Whenever the user targets uses a damaging Move on a Pokémon or Trainer that has acted before it
during Initiative this Round, that Move deals an additional +5 Damage."
Anchored,"Static
Dhelmise has an Anchor token on the field, which occupies one square as if it is Medium sized but is
otherwise ignored for cover and targeting. Dhelmise cannot move or be moved more than 3 meters away
from its Anchor, willingly or otherwise. The Anchor token itself cannot be pushed, pulled, or moved against
Dhelmise's will in any way. Dhelmise may shift their Anchor Token as a Swift Action, moving it to any open
space within 3 meters of itself. Bonus: When the user Shifts the Anchor, it may immediately afterwards
originate an attack from its Anchor if it has the appropriate action available, giving that attack the following
properties: the attack's range changes to Melee, 1 Target, the attack deals +2d6 damage, and the attack's
Class changes to Physical if it wasn't already."
Ancient Idol,"Static
For Damage calculation the user uses it's defense or special defense respectively"
Angel's Wrath,"Drastically alters all of the users moves."
Anger Point,"At-Will – Free Action
Effect: When the Pokémon receives a Critical Hit or misses a move, they become Enraged and gain +6 Attack
Combat Stages."
Anger Shell,"Scene 2x - Free Action
Trigger: The User Drops to half or below Half HP, Or the user becomes enraged
Effect:The user Receives +1 CS In Attack, Special Attack, and Speed but loses -1 CS In Defense and Special
Defense"
Antarctic Bird,"Ice-type and Flying-type moves get a 1.3x power boost."
Antartic Bird,"Static
User's Flying and Ice Type moves gain +1 Damage Base."
Anticipation,"At-Will – Swift Action
Target: Pokémon or Trainers
Effect: The target reveals if they have any Moves that are Super-Effective against the Pokémon with
Anticipation. You may not target a Pokémon or Trainer more than once per encounter with Anticipation.
Anticipation only reveals whether the opponent does or does not have those moves, not the specific moves
themselves."
Ape Shift,"Transforms below 50% HP, curing status and always critting."
Apex Predator,"Tough Claws + Predator."
Apple Enlightenment,"Fur coat + Magic Guard."
Apple Pie,"Self Sufficient + Ripen."
Aqua Boost,"At-Will – Free Action
Trigger: An adjacent Ally uses a damaging Water-Type Move
Effect: The allied target gains a +1DB Bonus to its damage roll with the triggering Move. A target may not
benefit from more than one instance of Aqua Boost at a time"
Aqua Bullet,"Static
effect: 'Connection - Aqua Jet. The user may use Water- Type Moves as a Full Action to gain Sky 10 and shift
in a straight line before attempting to use their Move. When shifting this way, the user does not provoke
attacks of opportunity.'"
Aquatic,"Static
User Gains STAB on Water-Type damaging moves and lowers damages from Water-Type resisted moves."
Aquatic Dweller,"Aquatic + Boosts the power of Water-type moves by 1.5x."
Arc Flash,"50% chance to burn when hit or paralyze when dealing damage."
Arcane Force,"All moves gain STAB. Ups “supereffective” by 10%."
Archer,"Boosts the power of arrow moves by 1.3x."
Archmage,"30% chance of adding a type related effect to each move."
Arctic Fur,"Weakens incoming physical and special moves by 35%."
Arena Trap,"Scene – Free Action
Target: Pokémon or Trainers
Effect: Once Arena Trap is activated, all foes within 5 meters of the user are considered Slowed. This does not
affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the
effect as a Free Action, and the effect ends if the user is Fainted or returned to a Poké Ball."
